,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Metro Access,Description
371,FabHotel Conclave Boutique,"Kailash Colony, New Delhi",7.0,Good,116 reviews,9 km from centre,Metro access,"FabHotel Conclave Boutique is set in the South Delhi district in New Delhi, 4.3 km from Humayun's Tomb. Guests can enjoy the on-site restaurant."
372,Hotel Kama Palace,"Karol bagh, New Delhi",6.5,Review score,21 reviews,3.8 km from centre,Metro access,"Hotel Kama Palace is located in New Delhi, 3.8 km from Jantar Mantar. Guests can enjoy the on-site restaurant. There is a 24-hour front desk, gift shop, and shops at the property."
373,Hotel International Inn,"Mahipalpur, New Delhi",7.1,Good,310 reviews,13.1 km from centre,No Metro Access,"Located in New Delhi, 16 km from Qutub Minar, Airport Hotel International - Inn provides accommodation with a restaurant, free private parking and a shared lounge."
374,Hotel Square Stay,"South West, New Delhi",8.4,Very good,15 reviews,15.6 km from centre,Metro access,"Set in New Delhi, within 11 km of Qutub Minar and 12 km of Gandhi Smriti, Hotel Square Stay features accommodation with a terrace and free WiFi throughout the property as well as free private parking..."
375,Hotel Arjun,"Paharganj, New Delhi",7.0,Good,91 reviews,1.2 km from centre,Metro access,"Just 350 meters from New Delhi Railway station, Check In Room R K Ashram (New Delhi) houses a 24-hour reception desk and offers complimentary Wi-Fi access in all areas."
376,Mapple Emerald New Delhi,New Delhi,6.2,Review score,10 reviews,17.4 km from centre,No Metro Access,"Mapple Emerald New Delhi is located 5 km from Indira Gandhi International Airport. It offers a fully-equipped fitness centre, a restaurant and rooms with free wired internet access."
377,OYO 12754 Hotel The Best,"Mahipalpur, New Delhi",5.2,Review score,10 reviews,13.2 km from centre,No Metro Access,"Attractively set in the Mahipalpur district of New Delhi, OYO 12754 Hotel The Best is situated 11 km from Qutub Minar, 13 km from Gandhi Smriti and 14 km from Gurudwara Bangla Sahib."
378,Hotel Alka Classic,"Connaught Place, New Delhi",6.6,Review score,83 reviews,0.7 km from centre,Metro access,"Featuring free Wi-Fi, Alka Classic is a heritage property which is just 600 metres from the popular Jantar Mantar Observatory. It offers multiple dining options and free Wi-Fi."
379,Hotel Le Roi,"Paharganj, New Delhi",7.1,Good,31 reviews,1.6 km from centre,No Metro Access,"Situated in New Delhi, Hotel Le Roi features modern rooms with a flat-screen TV and free Wi-Fi access. It also houses a restaurant offering 24-hour room service. On-site parking is free."
380,Hotel Kabeer New Delhi @ New Delhi Railway Station,"Paharganj, New Delhi",6.9,Review score,64 reviews,1.3 km from centre,No Metro Access,"Set in New Delhi, 2.9 km from Jantar Mantar, Hotel Kabeer New Delhi @ New Delhi Railway Station offers accommodation with a restaurant, free private parking, a shared lounge and a terrace."
381,Hari's Court Inns & Hotels,"South Delhi, New Delhi",6.9,Review score,38 reviews,8.1 km from centre,No Metro Access,"Set in New Delhi, 4.1 km from Lotus Temple, Hari's Court Inns & Hotels offers accommodation with a restaurant, free private parking, a garden and a terrace."
382,Vaccinated Staff- OYO 12190 Hotel New Blue Umbrella,New Delhi,4.3,Review score,10 reviews,8.3 km from centre,No Metro Access,"Set within 9 km of Red Fort and 9 km of Gurudwara Sis Ganj Sahib, OYO 12190 Hotel New Blue Umbrella provides rooms in New Delhi. All rooms boast a TV with cable channels and a private bathroom."
383,OYO 484 RTS Hotel,"Mahipalpur, New Delhi",6.6,Review score,9 reviews,13.3 km from centre,No Metro Access,Airport RTS Hotel is centrally placed just 2 km away from Indira Gandhi International Airport.
384,OYO 11247 Hotel Flic Flac,"South Delhi, New Delhi",5.1,Review score,4 reviews,9.2 km from centre,No Metro Access,"Set in New Delhi, within 2.1 km of Lotus Temple and 7 km of Humayun's Tomb, OYO 11247 Hotel Flic Flac features free WiFi throughout the property."
385,FabHotel Airlift,"Mahipalpur, New Delhi",7.3,Good,148 reviews,13.4 km from centre,No Metro Access,"10 km from Qutub Minar, Hotel A L - Delhi Airport T3, T2, T1 is set in New Delhi and features free WiFi, express check-in and check-out and a tour desk."
386,Hotel The Vegas Delhi Airport- A Boutique Hotel,"Mahipalpur, New Delhi",6.9,Review score,568 reviews,12.9 km from centre,No Metro Access,"Set in New Delhi, 11 km from Qutub Minar, Hotel The Vegas Delhi Airport- A Boutique Hotel features views of the city."
387,Ginger East Delhi,"East Delhi, New Delhi",6.7,Review score,107 reviews,8.6 km from centre,No Metro Access,"Located just 4 km from Anand Vihar Railway Station, Ginger East Delhi Hotel offers a fitness centre and multi-cuisine restaurant. The air-conditioned rooms include a refrigerator and flat-screen TV."
388,OYO 35663 M Palace,"Mahipalpur, New Delhi",4.9,Review score,4 reviews,13.5 km from centre,No Metro Access,"Conveniently set in the Mahipalpur district of New Delhi, OYO 35663 Mayank Palace is located 10 km from Qutub Minar, 12 km from Rashtrapati Bhavan and 13 km from Gandhi Smriti."
389,Rupam Hotel,"Karol bagh, New Delhi",7.9,Good,17 reviews,3.9 km from centre,Metro access,"Having been awarded Tripadvisor's Certificate of Excellence in 2014, Rupam Hotel features a restaurant and offers rooms with complimentary Wi-Fi access."
390,"Hotel Uppal International "" Couple Friendly "" Vaccinated staff ""","Paharganj, New Delhi",7.1,Good,296 reviews,1.4 km from centre,No Metro Access,"Set just 2 km away from the historical India Gate, Hotel Uppal International "" Couple Friendly "" We strive only for the Best offers beautifully furnished rooms equipped with free Wi-Fi access."
391,Home away from home..Noiseless Rooftop Appartment,"New Friends Colony, New Delhi",6.4,Review score,10 reviews,8.7 km from centre,No Metro Access,"Set within the New Friends Colony district in New Delhi, Home away from home..Noiseless Rooftop Appartment has air conditioning, a balcony, and city views."
392,Hotel Chanchal Continental,"Paharganj, New Delhi",7.0,Good,32 reviews,1.3 km from centre,No Metro Access,"Hotel Chanchal Continental is located in central Delhi, a 2-minute walk from New Delhi Railway Station. It features free Wi-Fi and parking. The hotel’s cosy guest rooms come with a flat-screen TV."
393,Hotel Cottage Yes Please@Paharganj,"Paharganj, New Delhi",6.9,Review score,314 reviews,1.4 km from centre,Metro access,"Hotel Cottage Yes Please @ Paharganj  is 800 metres from New Delhi Railway Station and 1 km from Connaught Place. To assist guests, it operates a 24-hour front desk. Free WiFi access is available."
394,The Allure (Near Nehru Place),"Greater Kailash 1, New Delhi",7.1,Good,22 reviews,9.8 km from centre,No Metro Access,"The Allure, A Boutique Hotel offers 25 well-appointed rooms with complimentary Wi-Fi access at all areas. Guests can utilize the meeting/banquet facilities or dine at the in-house restaurant."
395,Hotel JRD Exotica,"Safdarjung Enclave, New Delhi",6.8,Review score,83 reviews,8.3 km from centre,No Metro Access,"Offering an Indian restaurant, Hotel JRD Exotica is located in New Delhi. Popular attractions like the Qutub Minar, the Lotus Temple and the India Gate are 3 km. Free WiFi access is available."
396,Hotel Castle Blue,"Mahipalpur, New Delhi",6.8,Review score,27 reviews,13.1 km from centre,No Metro Access,"Located just 2.2 km from Indira Gandhi International Airport, Hotel Castle Blue features a business centre and operates a 24-hour front desk. Free WiFi is available throughout the property."
397,Hotel Athena,"New Friends Colony, New Delhi",6.4,Review score,17 reviews,8.2 km from centre,No Metro Access,"Offering a spa and wellness centre, Hotel Athena is located in the Maharani Bagh neighbourhood of New Delhi. Free Wi-Fi access is available."
398,HOTEL ALL IZ WELL- A Well Hygiene Property,"Paharganj, New Delhi",8.2,Very good,18 reviews,1.1 km from centre,No Metro Access,"Located in the business and shopping options at Pahar Ganj, HOTEL ALL IZ WELL- A Well Hygiene Property is within a 500 metre radius of dining options."
399,New Delhi YMCA Tourist Hostel,"Connaught Place, New Delhi",7.1,Good,224 reviews,1.3 km from centre,Metro access,"Offering an outdoor swimming pool and a fitness centre, New Delhi YMCA Tourist Hostel is located in New Delhi."
400,Vaccinated Staff- Collection O 30003 Dwarka,"Dwarka, New Delhi",5.9,Review score,70 reviews,18.7 km from centre,Metro access,Collection O 30003 Dwarka features air-conditioned rooms with cable TV in the Dwarka district of New Delhi.
401,Hotel Sundeep Inn,"Vasant Vihar, New Delhi",7.3,Good,55 reviews,10.3 km from centre,Metro access,"Located in New Delhi, 8 km from Qutub Minar, Hotel Sundeep Inn provides accommodation with a restaurant, free private parking, a shared lounge and a terrace."
402,Vaccinated Staff - OYO 11340 Hotel Lakshmi Palace,"Mahipalpur, New Delhi",5.5,Review score,16 reviews,13.1 km from centre,No Metro Access,OYO 11340 Hotel Lakshmi Palace features air-conditioned rooms with cable flat-screen TV in the Mahipalpur district of New Delhi.
403,HOTEL DELHI 55 @ NEW DELHI RAILWAY STATION,"Paharganj, New Delhi",7.3,Good,478 reviews,1.6 km from centre,No Metro Access,Hotel Delhi 55 is a sophisticated property located just 2 km from the historical India Gate. It offers free airport shuttle services and free Wi-Fi access is available at all areas of the hotel.
404,Svelte Hotel and Personal Suites,"Saket, New Delhi",7.0,Good,337 reviews,11.8 km from centre,No Metro Access,"Located within Select Citywalk Shopping Mall, a stroll from dining and entertainment options, Svelte Hotel and Personal Suite offers well-appointed suites with kitchenettes."
405,FabHotel Prime Shervani,"Sundar Nagar, New Delhi",7.2,Good,266 reviews,3.8 km from centre,No Metro Access,"Situated next to the National Zoological Park and Delhi Golf Club, Shervani offers modern rooms with flat-screen TVs and free Wi-Fi, easily accessible from the commercial districts of Connaught Place..."
406,Hotel Luxury Stay,"Mahipalpur, New Delhi",6.8,Review score,13 reviews,13.7 km from centre,No Metro Access,"Conveniently situated in the Mahipalpur district of New Delhi, Hotel Luxury Stay is located 10 km from Qutub Minar, 15 km from Gurudwara Bangla Sahib and 15 km from Gandhi Smriti."
407,FabHotel White Klove Paharganj,"Paharganj, New Delhi",7.2,Good,241 reviews,1.3 km from centre,Metro access,"Conveniently situated in the Paharganj district of New Delhi, FabHotel White Klove Paharganj is located 2.2 km from Gurudwara Bangla Sahib, 3 km from Jama Masjid and 3.4 km from Jantar Mantar."
408,Uni star Hotel Karol Bagh,"Karol bagh, New Delhi",6.3,Review score,35 reviews,3.6 km from centre,No Metro Access,"Conveniently set in the Karol bagh district of New Delhi, Uni star Hotel Karol Bagh is located 5 km from Jantar Mantar, 5 km from Gurudwara Bangla Sahib and 5 km from Jama Masjid."
409,S R PALACE,"Paharganj, New Delhi",7.4,Good,16 reviews,1 km from centre,No Metro Access,"Offering free WiFi, S R PALACE offers rooms in New Delhi, 2.4 km from Jama Masjid and 2.6 km from Jantar Mantar."
410,Hotel Sweet Home DX,"Paharganj, New Delhi",6.8,Review score,134 reviews,0.9 km from centre,No Metro Access,"Offering free WiFi, Hotel Sweet Home DX is located in New Delhi 100 metres from the New Delhi Railway Station, within 2.4 km of Jantar Mantar."
411,Hotel Unistar,"Karol bagh, New Delhi",7.1,Good,140 reviews,3.6 km from centre,No Metro Access,"Providing free Wi-Fi in its air-conditioned rooms, the 3-star hotel Unistar Karol Bagh is located in New Delhi's Karol Bagh neighbourhood."
412,"Hotel Yuvraj Deluxe-""Hygienic Hotel""","Paharganj, New Delhi",8.0,Very good,99 reviews,1.4 km from centre,No Metro Access,"A tourist class hotel in the heart of Delhi, India, Recommended as one of the best tourist-cum-business class hotels in New Delhi by LONELY PLANET."
413,Krishna Inn,"South Delhi, New Delhi",6.4,Review score,15 reviews,6.2 km from centre,No Metro Access,"Offering air-conditioned rooms in the South Delhi district of New Delhi, Krishna Inn is 2.1 km from Humayun's Tomb. This 3-star hotel offers an ATM and luggage storage space."
414,Hotel Persona International,"Karol bagh, New Delhi",7.3,Good,128 reviews,3.7 km from centre,Metro access,"Offering a restaurant, Hotel Persona International operates a 24-hour front desk to assist guests at all hours. Free WiFi access is available in all areas."
415,Karon Hotels - Lajpat Nagar,"Kailash Colony, New Delhi",7.1,Good,23 reviews,9 km from centre,Metro access,"Situated in New Delhi, Karon Hotels - Lajpat Nagar offers modern rooms with a flat-screen TV and free Wi-Fi access. It houses a multi-cuisine restaurant and provides 24-hour room service."
416,Hotel Swaran Palace,"Karol bagh, New Delhi",6.9,Review score,219 reviews,3.5 km from centre,Metro access,"Located just 200 metres from the Karol Bagh Metro Station, Hotel Swaran Palace operates a 24-hour front desk to assist guests at all hours. Free WiFi access is available."
417,AP Holiday Inn,"Rohini, New Delhi",6.5,Review score,22 reviews,12.3 km from centre,No Metro Access,"Ideally set in the Rohini district of New Delhi, AP Holiday Inn is situated 15 km from Red Fort, 15 km from Gurudwara Sis Ganj Sahib and 15 km from Gurudwara Bangla Sahib."
418,Hotel The R Blues,"Mahipalpur, New Delhi",7.3,Good,12 reviews,13.2 km from centre,No Metro Access,"Located just 2.5 km from Indira Gandhi International Airport, Hotel The R Blues features a 24-hour front desk and air-conditioned rooms."
419,Vaccinated Staff- OYO 23299 Hotel Royal Orbit,"Dwarka, New Delhi",5.2,Review score,14 reviews,16.7 km from centre,Metro access,"Well situated in the Dwarka district of New Delhi, Vaccinated Staff- OYO 23299 Hotel Royal Orbit is set 19 km from Rashtrapati Bhavan, 19 km from Gandhi Smriti and 21 km from Gurudwara Bangla Sahib."
420,Service Apartment in Saket,"Saket, New Delhi",6.5,Review score,16 reviews,12.8 km from centre,No Metro Access,"Set in New Delhi, 4 km from Qutub Minar, Service Apartment in Saket offers accommodation with a restaurant, free private parking, a shared lounge and a terrace."
421,D'presidente,"Janakpuri, New Delhi",6.2,Review score,19 reviews,12.9 km from centre,Metro access,"Situated just a 5-minute walk from Janakpuri East Metro Station, D’presidente Hotel offers well appointed rooms. It also has free Wi-Fi and a rooftop garden overlooking the bustling city."
422,Hotel Banz - Near Delhi International Airport,"South West, New Delhi",7.1,Good,82 reviews,15.1 km from centre,No Metro Access,"Set in New Delhi, 11 km from Qutub Minar, Hotel Banz - Near Delhi International Airport features views of the city."
423,Hotel Regent Grand,New Delhi,6.6,Review score,41 reviews,4.9 km from centre,Metro access,"Located in the heart of Delhi, Hotel Regent Grand is conveniently within 4 km from New Delhi Railway Station and the renowned Connaught Place."
